School,Teacher,Ethnicity.1,RI_Competence,RI_Interest,RI_Self_Recognition,RI_Recognition_ByOthers,Pre_Final,Post_Final
1,1,6,17,15,12,8,7,14
1,1,4,15,13,9,12,11,12
1,1,6,14,14,12,12,12,14
1,1,1,11,10,6,6,13,13
1,1,4,18,17,9,10,11,12
1,1,1,12,14,8,6,12,13
1,1,4,14,11,6,7,11,12
1,1,4,16,18,15,16,12,13
1,1,6,12,12,11,7,11,13
1,1,4,15,17,9,8,11,11
1,1,1,16,17,8,8,10,11
1,1,2,19,15,7,8,11,14
1,1,4,10,8,6,7,13,14
1,1,4,16,15,14,10,9,6
1,1,1,21,16,12,17,10,13
1,1,4,14,8,8,9,11,13
1,1,6,13,12,10,9,12,12
1,1,6,16,16,11,13,11,12
1,1,8,14,16,10,8,12,13
1,1,4,10,8,8,9,12,13
1,1,3,14,17,11,10,8,10
1,1,6,13,15,11,7,11,10
1,1,4,19,14,13,14,11,11
1,1,8,15,19,8,7,9,9
1,1,9,16,11,11,8,11,15
1,1,6,20,20,17,16,9,4
1,1,8,8,9,6,6,6,9
1,1,4,17,15,9,9,8,10
1,1,4,14,13,8,8,11,11
1,1,6,14,12,6,6,4,4
1,1,6,15,12,7,11,4,4
1,1,8,13,11,8,7,9,7
1,1,6,14,10,8,7,5,2
1,1,3,14,12,6,8,7,9
1,1,6,19,19,18,17,5,12
1,1,8,16,13,9,11,4,6
1,1,8,13,9,8,9,6,10
1,1,9,12,14,14,13,7,9
1,1,3,9,11,6,8,9,6
1,1,6,16,15,9,10,12,13
1,1,8,12,13,11,14,4,1
1,1,6,16,15,7,6,11,10
1,1,8,14,18,12,11,8,10
1,1,2,13,13,7,8,12,12
1,1,4,14,10,10,9,11,12
1,2,6,16,17,10,12,3,4
1,2,9,18,19,12,14,2,4
1,2,6,14,12,8,6,8,4
1,2,8,9,8,7,7,4,6
1,2,2,17,17,7,7,11,11
1,2,6,13,10,9,7,12,12
1,2,6,16,13,13,10,3,2
1,2,6,17,16,6,6,6,2
1,2,6,11,12,8,6,12,12
1,2,2,13,13,7,8,12,12
1,2,3,19,18,13,11,6,1
1,2,8,15,14,11,10,12,13
1,2,8,20,20,18,15,8,8
1,2,8,18,17,14,11,9,6
1,2,8,15,13,11,8,10,8
1,2,2,20,18,10,14,6,6
1,2,3,11,10,10,8,3,2
1,2,8,10,9,7,9,5,10
1,2,3,17,17,18,13,8,10
1,2,1,15,18,18,18,6,2
1,2,6,14,10,10,9,11,12
1,2,9,16,16,10,13,4,6
1,2,4,13,13,6,6,10,12
1,2,1,15,17,11,13,7,5
1,2,8,19,16,14,12,4,10
1,2,4,10,12,8,9,4,3
1,2,8,21,19,12,14,2,10
1,2,9,20,21,16,16,7,6
1,2,3,15,11,10,6,7,8
1,2,4,14,16,12,11,12,15
1,2,6,18,18,13,14,6,7
1,2,8,19,16,14,13,7,6
1,2,8,11,11,9,6,6,6
1,2,6,10,11,10,6,7,7
1,2,6,17,15,8,6,10,6
1,2,1,19,15,10,11,9,9
1,2,4,13,10,10,9,9,4
1,2,9,14,9,7,7,9,7
1,2,3,15,13,7,9,9,8
1,2,8,13,14,12,12,8,7
1,2,1,12,15,15,15,9,11
1,2,6,14,14,11,11,6,11
1,3,3,13,13,10,9,5,3
1,3,6,16,8,8,6,9,12
1,3,1,15,14,11,8,11,14
1,3,6,11,14,10,7,9,12
1,3,6,16,13,7,6,12,14
1,3,3,17,14,14,16,6,13
1,3,6,17,14,9,7,4,10
1,3,3,16,15,9,10,8,8
1,3,6,15,15,14,12,6,7
1,3,6,16,16,10,11,6,5
1,3,4,11,16,11,9,8,12
1,3,3,15,14,9,10,10,15
1,3,6,14,14,12,7,8,11
1,3,6,16,17,16,11,9,10
1,3,9,16,15,9,7,10,12
1,3,6,18,14,9,7,10,11
1,3,6,14,15,10,9,7,6
1,3,4,7,10,8,6,8,9
1,3,4,13,15,13,6,11,14
1,3,3,17,15,14,14,8,13
1,3,2,9,8,6,8,6,3
1,3,6,17,14,9,13,11,10
1,3,6,17,14,14,13,9,9
1,3,3,17,18,17,17,5,6
1,3,2,20,17,14,16,5,8
1,3,2,21,20,18,16,5,4
1,3,6,15,15,15,10,8,5
1,3,8,20,16,14,16,5,9
1,3,4,18,18,13,13,9,12
1,3,6,18,16,18,12,8,7
1,3,4,13,16,11,6,13,15
1,3,6,14,13,9,10,5,9
1,3,6,12,12,9,7,6,7
1,3,7,10,11,11,9,9,10
1,3,6,10,13,10,6,11,10
1,3,4,14,12,7,9,5,4
1,3,3,20,16,13,12,10,11
1,3,1,15,13,12,11,12,12
1,3,6,10,8,8,6,10,9
1,3,4,17,15,14,14,10,11
1,3,6,15,16,13,14,8,8
1,3,1,17,14,12,8,8,10
1,3,6,17,13,9,9,13,14
1,3,4,12,10,9,7,9,10
1,4,6,13,10,6,9,7,9
1,4,1,15,14,7,6,9,6
1,4,6,20,14,15,14,5,6
1,4,9,21,16,13,12,5,6
1,4,2,19,15,8,12,9,9
1,4,6,14,13,9,7,9,10
1,4,6,11,9,6,6,8,9
1,4,9,13,9,6,6,3,7
1,4,1,10,9,6,7,6,9
1,4,3,17,15,14,15,6,8
1,4,1,20,16,15,12,9,9
1,4,6,16,11,9,10,6,7
1,4,3,15,13,12,8,5,10
1,4,6,13,15,14,11,8,9
1,4,2,21,21,18,16,9,7
1,4,9,11,10,8,6,6,7
1,4,3,16,9,9,10,7,10
1,4,6,14,14,11,12,9,11
1,4,2,11,10,10,10,8,10
1,4,6,16,18,11,11,5,4
1,4,1,15,18,10,10,8,10
1,4,6,12,14,10,10,8,10
1,4,3,21,17,8,16,11,11
1,4,1,7,7,6,6,8,7
1,4,5,18,14,12,12,7,7
1,4,1,21,21,18,18,9,6
1,4,3,19,20,16,16,10,13
1,4,6,21,20,15,16,10,11
1,4,7,14,15,11,10,5,7
1,4,1,12,13,10,9,7,5
1,4,1,18,18,16,16,8,10
1,4,1,19,17,11,8,9,9
1,4,1,15,15,11,11,6,11
1,4,6,18,16,11,12,4,2
1,4,5,16,12,12,6,8,9
1,4,2,18,20,14,10,5,6
1,4,1,12,16,12,11,7,8
1,4,3,14,12,9,9,5,3
2,5,8,10,8,8,7,5,6
2,5,6,14,14,10,8,7,6
2,5,9,11,13,11,13,5,7
2,5,9,17,14,12,11,12,10
2,5,8,13,13,11,9,6,4
2,5,1,17,18,12,11,5,7
2,5,6,9,12,8,6,6,2
2,5,4,14,14,9,7,11,10
2,5,1,14,12,11,10,8,10
2,5,1,15,14,10,7,11,7
2,5,2,14,14,13,8,9,6
2,5,3,10,16,11,10,8,12
2,5,8,18,20,15,14,5,8
2,5,8,17,17,10,11,5,2
2,5,6,16,15,7,7,7,9
2,5,8,13,12,8,8,10,12
2,5,1,14,10,6,6,7,8
2,5,1,13,9,7,9,4,6
2,5,3,13,16,10,10,8,4
2,5,3,15,17,12,11,12,5
2,5,5,14,12,13,9,9,6
2,5,3,11,13,11,13,5,7
2,6,2,15,15,11,7,8,12
2,6,8,18,18,13,13,8,11
2,6,2,19,19,11,11,9,12
2,6,8,11,12,8,7,7,14
2,6,1,16,14,13,7,4,9
2,6,2,14,12,9,8,8,7
2,6,6,14,15,8,6,12,11
2,6,1,12,10,6,6,11,13
2,6,1,16,15,8,10,11,14
2,6,6,11,12,6,6,12,13
2,6,9,11,10,9,7,9,12
2,6,5,12,10,7,7,9,9
2,6,2,16,14,15,9,7,7
2,6,6,16,12,7,6,10,15
2,6,9,13,14,8,10,12,13
2,6,3,14,13,9,7,9,9
2,6,6,17,16,12,8,9,12
2,6,8,18,14,13,10,9,10
2,6,4,16,14,12,12,11,10
2,6,6,17,15,8,8,6,8
2,6,1,8,12,8,8,8,14
2,6,1,9,10,9,7,11,11
3,7,3,10,11,15,8,6,8
3,7,3,14,12,13,8,4,14
3,7,4,7,9,8,6,7,12
3,7,3,11,16,15,10,5,12
3,7,3,12,16,14,9,8,14
3,7,3,12,16,14,8,11,14
3,7,3,12,18,14,9,8,14
3,7,3,15,14,11,11,8,13
3,7,3,13,14,12,11,3,12
4,8,1,18,16,13,16,11,13
4,8,1,15,16,10,6,7,11
4,8,1,16,16,10,11,13,14
4,8,3,16,16,12,14,5,10
4,8,3,16,14,11,6,8,8
4,8,3,16,16,11,11,11,14
4,8,1,14,12,8,8,6,9
4,8,1,11,12,6,6,8,14
4,8,3,15,15,11,8,12,12
4,8,1,9,11,6,6,11,10
5,9,6,7,7,6,6,2,12
5,9,1,15,12,7,11,2,13
5,9,6,15,12,10,12,8,13
5,9,2,18,13,10,7,6,13
5,9,6,15,20,18,18,8,13
5,9,2,11,11,10,9,9,13
5,9,6,13,14,10,14,4,13
5,9,2,16,13,11,9,9,13
5,9,2,16,18,14,10,4,13
5,9,2,15,13,9,7,5,10
5,9,2,16,12,7,6,4,10
5,9,6,12,16,11,11,4,14
5,9,2,12,15,13,12,5,12
5,9,2,16,16,10,14,4,12
