State,School,Teacher,Gender,Ethnicity.1,Grade,PRE_CS_Q1,PRE_CS_Q2,PRE_CS_Q3,PRE_CS_Q4,PRE_CS_Q5,PRE_CS_Q7,PRE_CS_Q8,PRE_CS_Q10,PRE_CS_Q11,PRE_CS_Q13,PRE_CS_Q14,PRE_CS_Q15,PRE_CS_Q16,PRE_CS_Q17,PRE_CS_Q18,POST_CS_Q1,POST_CS_Q2,POST_CS_Q3,POST_CS_Q4,POST_CS_Q5,POST_CS_Q6,POST_CS_Q7,POST_CS_Q8,POST_CS_Q9,POST_CS_Q10,POST_CS_Q11,POST_CS_Q12,POST_CS_Q13,POST_CS_Q14,POST_CS_Q15,POST_CS_Q16,POST_CS_Q17,POST_CS_Q18,PRE_CS_Q6,PRE_CS_Q9,PRE_CS_Q12,Teacher_Score,Pre_RI_Competence,Pre_RI_Interest,Pre_RI_Self_Recognition,Pre_RI_Recognition_ByOthers,Post_RI_Competence,Post_RI_Interest,Post_RI_Self_Recognition,Post_RI_Recognition_ByOthers
1,1,1,3,6,2,4,1,4,3,1,2,4.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2,2,3,4,1,1.0,2,4,,1.0,1.0,,3.0,1.0,1.0,1.0,2.0,2.0,,1.0,,83.0,3,3,6,15,0,3,6,12
1,1,1,2,4,2,2,2,3,4,1,2,4.0,4.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,2,2,3,4,1,1.0,2,4,,3.0,1.0,,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,83.0,3,6,9,6,3,9,9,9
1,1,1,2,6,2,2,2,3,4,1,2,4.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,2,2,3,4,1,1.0,2,4,,2.0,1.0,,3.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,83.0,9,3,9,9,3,3,6,9
1,1,1,1,1,2,2,2,4,4,1,2,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2,2,3,4,1,1.0,2,4,,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,83.0,9,15,18,18,9,9,18,18
1,1,1,1,4,2,2,1,3,4,1,2,4.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,2,4,3,4,1,1.0,2,4,,2.0,1.0,,3.0,3.0,1.0,2.0,2.0,2.0,1.0,,,83.0,0,3,12,12,0,3,0,0
1,1,1,1,1,2,2,2,3,4,1,2,4.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2,2,3,4,1,1.0,2,2,,2.0,1.0,,3.0,3.0,1.0,2.0,2.0,2.0,,,,83.0,6,3,15,18,3,3,15,18
1,1,1,1,4,2,2,2,3,4,1,2,4.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,2,2,3,4,1,1.0,2,4,4.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,,3.0,,83.0,3,9,18,15,3,6,18,18
1,1,1,2,4,2,2,2,3,4,1,2,4.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2,2,3,4,1,1.0,2,4,,3.0,1.0,,3.0,3.0,1.0,2.0,3.0,2.0,1.0,,,83.0,3,0,3,3,3,9,9,15
1,1,1,2,6,2,2,2,3,4,1,2,4.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2,2,3,4,1,1.0,2,4,,2.0,1.0,,3.0,3.0,1.0,2.0,4.0,2.0,,1.0,,83.0,6,6,3,15,3,3,12,18
1,1,1,1,4,2,2,2,3,4,1,2,4.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2,2,3,3,1,1.0,2,2,1.0,2.0,1.0,,3.0,2.0,1.0,2.0,3.0,2.0,1.0,,,83.0,6,3,12,12,6,3,15,12
