School,Teacher_Score,Pre_RI_Competence,Pre_RI_Interest,Pre_RI_Self_Recognition,Pre_RI_Recognition_ByOthers,Post_RI_Competence,Post_RI_Interest,Post_RI_Self_Recognition,Post_RI_Recognition_ByOthers,Pre_Final,Post_Final,Class_Pre_Interest,Class_Post_Interest
13.94047619047619,85,11,13,12,16,9,14,12,14,5,15,B,B
13.94047619047619,85,13,15,15,12,13,17,15,14,12,15,B,A
13.94047619047619,85,14,14,12,12,12,15,11,15,14,16,B,B
13.94047619047619,85,17,18,18,18,15,13,18,18,12,15,A,B
13.94047619047619,85,10,11,15,14,8,12,7,6,13,16,B,B
13.94047619047619,85,16,14,16,18,13,13,17,18,15,17,B,B
13.94047619047619,85,14,17,18,17,13,15,18,18,14,15,A,B
13.94047619047619,85,12,10,9,8,13,14,15,17,17,16,C,B
13.94047619047619,85,16,16,13,17,15,14,14,18,15,17,A,B
13.94047619047619,85,13,11,15,16,14,13,17,15,13,13,B,B
13.94047619047619,85,12,11,16,16,10,12,17,16,12,15,B,B
13.94047619047619,85,9,13,17,16,11,16,16,13,15,15,B,A
13.94047619047619,85,18,20,18,17,17,21,17,16,15,16,A,A
13.94047619047619,85,12,13,10,14,12,12,15,13,7,8,B,B
13.94047619047619,85,7,12,12,7,8,13,13,14,11,17,B,B
13.94047619047619,85,14,20,16,15,16,17,14,16,15,14,A,A
13.94047619047619,85,15,16,14,15,12,16,15,16,16,15,A,A
13.94047619047619,85,12,12,13,11,12,12,16,16,14,13,B,B
13.94047619047619,85,14,12,14,16,13,16,16,16,14,14,B,A
13.94047619047619,85,18,20,16,15,15,16,16,16,16,15,A,A
13.94047619047619,85,14,11,13,14,10,10,13,17,9,11,B,C
13.94047619047619,85,15,13,13,17,16,16,15,16,15,14,B,A
13.94047619047619,85,9,14,11,10,11,12,12,14,14,12,B,B
13.94047619047619,85,13,9,16,17,14,13,11,12,9,12,C,B
13.94047619047619,85,12,17,13,16,14,18,17,17,16,17,A,A
13.94047619047619,85,8,8,7,8,9,14,8,10,8,6,C,B
13.94047619047619,85,20,19,18,18,18,16,18,18,8,11,A,A
13.94047619047619,85,11,13,15,15,9,12,11,18,10,11,B,B
13.94047619047619,85,14,15,16,16,13,16,18,16,11,12,B,A
13.94047619047619,85,14,16,18,18,15,15,18,18,4,4,A,B
13.94047619047619,85,13,16,17,13,7,9,6,6,3,3,A,C
13.94047619047619,85,15,17,16,17,17,17,15,17,11,8,A,A
13.94047619047619,85,14,18,16,17,16,18,18,18,6,2,A,A
13.94047619047619,85,14,16,18,16,12,14,18,14,9,13,A,B
13.94047619047619,85,9,9,6,7,7,8,8,9,5,12,C,C
13.94047619047619,85,12,15,15,13,10,12,8,9,5,6,B,B
13.94047619047619,85,15,19,16,15,18,20,18,18,6,11,A,A
13.94047619047619,85,16,14,10,11,14,15,15,14,8,10,B,B
13.94047619047619,85,19,17,18,16,19,18,18,16,10,6,A,A
13.94047619047619,85,12,13,15,14,10,14,16,12,13,17,B,B
13.94047619047619,85,16,15,13,10,16,11,13,10,3,2,B,B
13.94047619047619,85,12,13,17,18,12,15,18,16,12,14,B,B
13.94047619047619,85,14,10,12,13,13,14,10,12,8,9,C,B
13.94047619047619,85,15,15,17,16,17,17,17,14,13,13,B,A
13.94047619047619,85,14,18,14,15,14,16,15,14,13,12,A,A
13.94047619047619,84,12,11,14,12,11,10,9,9,4,6,B,C
13.94047619047619,84,10,9,12,10,13,14,18,18,3,5,C,B
13.94047619047619,84,14,16,16,18,8,13,13,14,7,6,A,B
13.94047619047619,84,19,20,17,17,19,20,16,15,6,6,A,A
13.94047619047619,84,11,11,17,17,14,14,17,13,12,14,B,B
13.94047619047619,84,15,18,15,17,17,18,17,16,16,12,A,A
13.94047619047619,84,12,15,11,14,9,13,12,9,5,2,B,B
13.94047619047619,84,11,12,18,18,21,21,14,15,7,2,B,A
13.94047619047619,84,17,16,16,18,13,15,13,17,17,16,A,B
13.94047619047619,84,15,15,17,16,17,17,17,14,13,13,B,A
13.94047619047619,84,13,14,13,14,8,12,8,6,15,15,B,B
13.94047619047619,84,8,8,6,9,8,7,8,7,8,9,C,C
13.94047619047619,84,10,11,10,13,11,12,9,10,8,7,B,B
13.94047619047619,84,13,15,13,16,14,17,15,16,12,11,B,A
13.94047619047619,84,8,10,14,10,8,11,11,10,4,7,C,B
13.94047619047619,84,17,18,14,16,14,14,16,14,2,1,A,B
13.94047619047619,84,18,19,17,15,21,21,18,18,4,12,A,A
13.94047619047619,84,11,11,6,11,12,10,9,11,8,11,B,C
13.94047619047619,84,13,10,6,6,8,10,8,9,5,2,C,C
13.94047619047619,84,14,18,14,15,14,16,15,14,13,12,A,A
13.94047619047619,84,12,12,14,11,7,7,6,6,5,6,B,C
13.94047619047619,84,15,15,18,18,13,10,14,18,11,14,B,C
